"UserID"|"Exposuredate"|"AdvertiserID"|"Zone"|"CreativeID"|"Creativesize"|"CreativeSizeDesc"|"DomainPlacement"|"NetworkPlacement"|"DeviceTypeID"|"CampaignID"|"CT"|"CountExposures"|"Lineitemid"
"75867473"|"20170703"|"148373533"|"cardio/hypertension"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"4"|"247"|"0"|"1"|"4355252134"
"75867473"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"4"|"247"|"0"|"6"|"4355252134"
"76029611"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"3"|"4355252134"
"76029611"|"20170703"|"148373533"|"generalwellness/general"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252134"
"76078159"|"20170703"|"148373533"|"generalwellness/healthyhome"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"2"|"4355252134"
"76078159"|"20170703"|"148373533"|"generalwellness/healthyhome"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"3"|"4355252134"
"76078159"|"20170703"|"148373533"|"generalwellness/healthyhome"|"113313439213"|"728x90"|"Leaderboard"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"2"|"4355252134"
"76103889"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"2"|"4355252143"
"76103889"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252143"
"76155065"|"20170703"|"148373533"|"skinhairnails/beauty"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252137"
"76189864"|"20170703"|"148373533"|"skinhairnails/beauty"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252134"
"76218049"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355426121"
"76272681"|"20170703"|"148373533"|"healthyliving/recipes"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252143"
"76272681"|"20170703"|"148373533"|"healthyliving/recipes"|"113313439213"|"728x90"|"Leaderboard"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355426121"
"76291349"|"20170703"|"148373533"|"womenshealth/general"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355252134"
"76319238"|"20170703"|"148373533"|"generalwellness/exerciseandfitness"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"4"|"247"|"0"|"1"|"4355252137"
"76319238"|"20170703"|"148373533"|"generalwellness/weightmanagement"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"4"|"247"|"0"|"1"|"4355252137"
"76374900"|"20170703"|"148373533"|"healthyliving/recipes"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355252143"
"76374900"|"20170703"|"148373533"|"healthyliving/recipes"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355426121"
"76418091"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"4"|"247"|"0"|"1"|"4355252137"
"76500661"|"20170703"|"148373533"|"generalwellness/healthyhome"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355252134"
