"NewsletterID"|"UserID"|"SendDate"|"ClickDate"|"UrlID"|"ArticleType"|"EditorialContentType"|"Clicks"|"CampaignID"|"Zone"
"25"|"63713964"|"20170706"|"20170706"|"4002195"|"Lifestyle-Mental Health"|"CuSo Article 3.0"|"1"|"252"|"/cs/humirauc/ad1"
"25"|"63713964"|"20170706"|"20170706"|"96167872"|"Lifestyle-Mental Health"|"CuSo Article 3.0"|"1"|"252"|"/cs/humirauc/ad1"
"25"|"72211202"|"20170705"|"20170706"|"4002195"|"Lifestyle-Mental Health"|"CuSo Article 3.0"|"1"|"252"|"/cs/humirauc/ad1"
"25"|"72211202"|"20170705"|"20170706"|"96136481"|"Lifestyle-Mental Health"|"CuSo Article 3.0"|"1"|"252"|"/cs/humirauc/ad1"
"24"|"68562570"|"20170706"|"20170706"|"4011614"|"Condition Basics-Comorbidities"|"CuSo Slideshow"|"1"|"255"|"/cs/gskbreo2016"
"24"|"68562570"|"20170706"|"20170706"|"96158462"|"Condition Basics-Comorbidities"|"CuSo Slideshow"|"1"|"255"|"/cs/gskbreo2016"
"48"|"34849691"|"20170705"|"20170706"|"4011615"|"Condition Basics-Triggers"|"CuSo Slideshow"|"1"|"255"|"/cs/gskbreo2016"
"48"|"34849691"|"20170705"|"20170706"|"96130491"|"Condition Basics-Triggers"|"CuSo Slideshow"|"1"|"255"|"/cs/gskbreo2016"
"24"|"73162590"|"20170706"|"20170706"|"4011614"|"Condition Basics-Comorbidities"|"CuSo Slideshow"|"1"|"255"|"/cs/gskbreo2016"
"24"|"73162590"|"20170706"|"20170706"|"96158462"|"Condition Basics-Comorbidities"|"CuSo Slideshow"|"1"|"255"|"/cs/gskbreo2016"
"48"|"38388227"|"20170706"|"20170706"|"4011615"|"Condition Basics-Triggers"|"CuSo Slideshow"|"1"|"255"|"/cs/gskbreo2016"
"48"|"38388227"|"20170706"|"20170706"|"96160865"|"Condition Basics-Triggers"|"CuSo Slideshow"|"1"|"255"|"/cs/gskbreo2016"
